organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
Cabrini,Cabrini Elsternwick,Women's mental health,Statewide,wmh@cabrini.com.au,95085100,"https://www.cabrini.com.au/services/womens-mental-health/, https://www.cabrini.com.au/services/womens-mental-health/, https://www.cabrini.com.au/services/womens-mental-health/, https://www.cabrini.com.au/services/womens-mental-health/",,Not applicable,Yes,Yes,Yes,,2-6 Hopetoun Street,Elsternwick,VIC,3185,Paid,In person,"High intensity, Moderate intensity",,"Primary and specialised clinical ambulatory mental health care services, Specialised bed-based mental health care services, Specialised mental health community support services","Adult, Hospital, Specialised Services","Medical, Tertiary qualified"
Call to Mind,Online,ADHD Pathway,Statewide,info@calltomind.com.au,03 9099 0453,Call to Mind ADHD Pathway,,Not applicable,No,Yes,No,"Some appointments may be scheduled outside working hours if it suits, but initial bookings need to be made within 9 to 5",,,,,Paid,Online,"High intensity, Moderate intensity",,Primary and specialised clinical ambulatory mental health care services,Specialised Services,Medical
Call to Mind,Online,Psychiatry,Statewide,info@calltomind.com.au,03 9099 0453,I want to see a psychiatrist (calltomind.com.au),,Not applicable,No,Yes,No,"Some appointments may be scheduled outside working hours if it suits, but initial bookings need to be made within 9 to 5",,,,,Paid,Online,"High intensity, Low intensity, Moderate intensity",,"Medications and procedures, Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Medical
Calm Harm App,App,Calm Harm App,Statewide,calmharm@stem4.org.uk,,Home - Calm Harm App,,No timeframe,Yes,Yes,Yes,App,,,,,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention",Specialised Services,
Caraniche,Coburg,Caraniche,Statewide,"work@caraniche.com.au, admin@caraniche.com.au",(03) 8417 0504,"https://caraniche.com.au/, https://caraniche.com.au/",,Not applicable,No,Yes,No,,Suite 402/398 Sydney Road,,,,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, AOD, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
Caraniche,Croydon,Caraniche,Statewide,"work@caraniche.com.au, admin@caraniche.com.au",(03) 8417 0503,"https://caraniche.com.au/, https://caraniche.com.au/",,Not applicable,No,Yes,No,,72 Maroondah Highway,,,,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
Caraniche,Essendon North,Caraniche,Statewide,"work@caraniche.com.au, admin@caraniche.com.au",(03) 8417 0505,"https://caraniche.com.au/, https://caraniche.com.au/",,Not applicable,No,Yes,No,,"The Edge, 80 Keilor Road, Level 2, Suite 18B",,,,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, AOD, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
Caraniche,Footscray,Caraniche,Statewide,"work@caraniche.com.au, admin@caraniche.com.au",(03) 8417 0501,"https://caraniche.com.au/, https://caraniche.com.au/",,Not applicable,No,Yes,No,,"99 Gordon Street, 99 Gordon Street",,,,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
Caraniche,St Albans,Caraniche,Statewide,"work@caraniche.com.au, admin@caraniche.com.au",(03) 8417 0502,"https://caraniche.com.au/, https://caraniche.com.au/",,Not applicable,No,Yes,No,,17 Victoria Crescent,Street,,,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
Caraniche,Werribee,Caraniche,Statewide,"admin@caraniche.com.au, admin@caraniche.com.au",(03) 8417 0500,"https://caraniche.com.au/, https://caraniche.com.au/",,Not applicable,No,Yes,No,,275 Princes Highway,,,,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
CareinMIND,Online,Free Online and Phone Counselling,North Western Melbourne,,1300 096 269,https://careinmind.com.au/,,No timeframe,Yes,Yes,Yes,,"PO Box 2335, Footscray",Vic,VIC,,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Carer Gateway,Brunswick,Carer Gateway,Statewide,,1800 422 737,https://www.carergateway.gov.au/about/person-phone-counselling?cta#a3,,Less than a week,No,Yes,No,,Wurundjeri Woi Wurrung | 11 Glenlyon Road,Brunswick,VIC,3056,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified"
Carer Gateway,Brunswick West,Carer Gateway,Statewide,,1800 422 737,https://www.carergateway.gov.au/about/person-phone-counselling?cta#a3,,Less than a week,No,Yes,No,,Wurundjeri Woi Wurrung | 382-386 Moreland Road,Brunswick West,VIC,3055,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified"
Carer Gateway,Coburg,Carer Gateway,Statewide,,1800 422 737,https://www.carergateway.gov.au/about/person-phone-counselling?cta#a3,,Less than a week,No,Yes,No,,"Wurundjeri Woi Wurrung | Ground floor, Unit 4, 19 Pentridge Boulevard",Coburg,VIC,3058,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified"
Carer Gateway,Coburg,Carer Gateway,Statewide,,1800 422 737,https://www.carergateway.gov.au/about/person-phone-counselling?cta#a3,,Less than a week,No,Yes,No,,Wurundjeri Woi Wurrung | 21 Victoria Street,Coburg,VIC,3058,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified"
Carer Gateway,Fawkner,Carer Gateway,Statewide,,1800 422 737,https://www.carergateway.gov.au/about/person-phone-counselling?cta#a3,,Less than a week,No,Yes,No,,"Wurundjeri Woi Wurrung | CB Smith Reserve, 79 Jukes Road",Fawkner,VIC,3060,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified"
Carer Gateway,Glenroy,Carer Gateway,Statewide,,1800 422 737,https://www.carergateway.gov.au/about/person-phone-counselling?cta#a3,,Less than a week,No,Yes,No,,Wurundjeri Woi Wurrung | 5D Cromwell Street,Glenroy,VIC,3046,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified"
Carer Gateway,Preston,Carer Gateway,Statewide,,1800 422 737,https://www.carergateway.gov.au/about/person-phone-counselling?cta#a3,,Less than a week,No,Yes,No,,"Wurundjeri Woi Wurrung | Level 1 and 2, 110 Chifley Drive",Preston,VIC,3072,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified"
Carers Victoria Advisory Line,Online,Carers Victoria Advisory Line,Statewide,reception@carersvictoria.org.au,1800696784,Home | Carers Victoria,"Carers Victoria is the statewide voice for family carers, representing and providing support to carers in Victoria. People engage with them via a free call.",No timeframe,No,No,No,,PO Box 13305,Law Courts,VIC,8010,Free,Online,"Low intensity, Self management",Free call,Specialised mental health community support services,"Families, Specialised Services",Tertiary qualified
CASA House,Melbourne,Counselling and Advocacy for Sexual Assult,North Western Melbourne,casa@thewomens.org.au,03 9635 3610,CASA House: Counselling and Advocacy Support,,No timeframe,Yes,No,Yes,24 hours only for crisis phone line.,"CASA House, 3rd Floor, Queen Victoria Women's Centre, 210 Lonsdale Street,",Melbourne,VIC,3000,N/A,"In person, Online, Outreach","High intensity, Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, LGBTQIA+, Specialised Services, Young People","Medical, Tertiary qualified"
Cass Dolby,Northcote,Cass Dolby,Statewide,,0422 747 897,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/northcote-3070-vic/cass-dolby-counsellor-clinical-mental-health-social-worker-family-therapist/general-counselling/5bd1fdf6-ae9b-d98b-aa83-92d5b17b8a97,,Not applicable,No,No,No,"Thursday 9am–5pm
Friday 9am–5pm",56 Waterloo Road,Northcote,VIC,3070,Paid,In person,Low intensity,,"Mental health promotion, Primary and specialised clinical ambulatory mental health care services","Adult, Families",Tertiary qualified
